Date,CampaignName,Impressions,Clicks,Cost,Conversions
2026-09-04,Поиск_Москва_Категории_Целевой,5633,164,9137.34,5
2026-09-04,Поиск_РФ_Бренд_Транзакционный,3122,106,4986.99,5
2026-09-04,РСЯ_РФ_Интересы_Аудитории,24986,488,6863.91,10
2026-09-04,РСЯ_РФ_Ретаргетинг_Корзины,12608,201,3631.18,8
2026-09-05,Поиск_Москва_Категории_Целевой,4886,132,8412.97,4
2026-09-05,Поиск_РФ_Бренд_Транзакционный,2579,90,3279.84,4
2026-09-05,РСЯ_РФ_Интересы_Аудитории,19528,377,4968.07,8
2026-09-05,РСЯ_РФ_Ретаргетинг_Корзины,14377,291,4674.49,12
2026-09-06,Поиск_Москва_Категории_Целевой,4111,110,5718.26,4
2026-09-06,Поиск_РФ_Бренд_Транзакционный,3548,141,6115.79,7
2026-09-06,РСЯ_РФ_Интересы_Аудитории,13651,232,3570.79,6
2026-09-06,РСЯ_РФ_Ретаргетинг_Корзины,10786,217,3740.23,9
2026-09-07,Поиск_Москва_Категории_Целевой,4913,124,6940.86,4
2026-09-07,Поиск_РФ_Бренд_Транзакционный,4250,149,7316.2,7
2026-09-07,РСЯ_РФ_Интересы_Аудитории,19493,350,5067.63,9
2026-09-07,РСЯ_РФ_Ретаргетинг_Корзины,15791,331,5099.85,11
2026-09-08,Поиск_Москва_Категории_Целевой,4954,133,6690.44,4
2026-09-08,Поиск_РФ_Бренд_Транзакционный,4158,157,6220.48,7
2026-09-08,РСЯ_РФ_Интересы_Аудитории,19893,395,5535.35,11
2026-09-08,РСЯ_РФ_Ретаргетинг_Корзины,15436,277,5885.91,10
2026-09-09,Поиск_Москва_Категории_Целевой,5072,123,7981.59,4
2026-09-09,Поиск_РФ_Бренд_Транзакционный,4019,152,5960.16,6
2026-09-09,РСЯ_РФ_Интересы_Аудитории,17327,312,4154.78,8
2026-09-09,РСЯ_РФ_Ретаргетинг_Корзины,13069,268,4545.62,9
2026-09-10,Поиск_Москва_Категории_Целевой,5184,138,6677.8,5
2026-09-10,Поиск_РФ_Бренд_Транзакционный,3699,144,5676.01,6
2026-09-10,РСЯ_РФ_Интересы_Аудитории,22455,450,5468.35,10
2026-09-10,РСЯ_РФ_Ретаргетинг_Корзины,17854,358,7675.57,12
2026-09-11,Поиск_Москва_Категории_Целевой,5834,173,9697.76,5
2026-09-11,Поиск_РФ_Бренд_Транзакционный,3489,136,6271.17,6
2026-09-11,РСЯ_РФ_Интересы_Аудитории,20625,331,4557.0,7
2026-09-11,РСЯ_РФ_Ретаргетинг_Корзины,12537,249,5213.21,11
2026-09-12,Поиск_Москва_Категории_Целевой,4236,114,5344.28,4
2026-09-12,Поиск_РФ_Бренд_Транзакционный,2879,101,3611.91,5
2026-09-12,РСЯ_РФ_Интересы_Аудитории,17460,341,3472.4,7
2026-09-12,РСЯ_РФ_Ретаргетинг_Корзины,10539,179,2728.02,8
2026-09-13,Поиск_Москва_Категории_Целевой,3495,105,5178.22,4
2026-09-13,Поиск_РФ_Бренд_Транзакционный,3146,108,4650.07,5
2026-09-13,РСЯ_РФ_Интересы_Аудитории,18012,303,3271.33,8
2026-09-13,РСЯ_РФ_Ретаргетинг_Корзины,14198,285,4433.19,11
2026-09-14,Поиск_Москва_Категории_Целевой,5627,169,8452.91,5
2026-09-14,Поиск_РФ_Бренд_Транзакционный,4129,143,6710.67,6
2026-09-14,РСЯ_РФ_Интересы_Аудитории,16081,346,4378.32,8
2026-09-14,РСЯ_РФ_Ретаргетинг_Корзины,17949,359,7024.84,13
2026-09-15,Поиск_Москва_Категории_Целевой,5295,149,8663.19,5
2026-09-15,Поиск_РФ_Бренд_Транзакционный,4141,156,7004.86,7
2026-09-15,РСЯ_РФ_Интересы_Аудитории,22253,358,3829.32,7
2026-09-15,РСЯ_РФ_Ретаргетинг_Корзины,14294,219,4057.7,7
2026-09-16,Поиск_Москва_Категории_Целевой,4911,122,6689.54,4
2026-09-16,Поиск_РФ_Бренд_Транзакционный,4008,138,6857.59,6
2026-09-16,РСЯ_РФ_Интересы_Аудитории,17849,314,3168.83,9
2026-09-16,РСЯ_РФ_Ретаргетинг_Корзины,17408,310,5951.44,10
2026-09-17,Поиск_Москва_Категории_Целевой,4335,126,5736.81,4
2026-09-17,Поиск_РФ_Бренд_Транзакционный,3768,137,6200.55,6
2026-09-17,РСЯ_РФ_Интересы_Аудитории,24760,464,6159.0,13
2026-09-17,РСЯ_РФ_Ретаргетинг_Корзины,15546,308,5980.54,12
2026-09-18,Поиск_Москва_Категории_Целевой,4011,99,4491.08,3
2026-09-18,Поиск_РФ_Бренд_Транзакционный,4440,165,6286.54,7
2026-09-18,РСЯ_РФ_Интересы_Аудитории,24817,448,5180.75,11
2026-09-18,РСЯ_РФ_Ретаргетинг_Корзины,14082,240,4618.99,9
2026-09-19,Поиск_Москва_Категории_Целевой,4463,122,7850.9,4
2026-09-19,Поиск_РФ_Бренд_Транзакционный,3136,118,5243.23,6
2026-09-19,РСЯ_РФ_Интересы_Аудитории,15644,262,3013.03,6
2026-09-19,РСЯ_РФ_Ретаргетинг_Корзины,14750,288,5890.95,13
2026-09-20,Поиск_Москва_Категории_Целевой,4549,136,6768.0,4
2026-09-20,Поиск_РФ_Бренд_Транзакционный,3002,118,5649.39,5
2026-09-20,РСЯ_РФ_Интересы_Аудитории,12872,214,2208.68,6
2026-09-20,РСЯ_РФ_Ретаргетинг_Корзины,13080,236,4864.35,9
2026-09-21,Поиск_Москва_Категории_Целевой,5587,160,9221.88,5
2026-09-21,Поиск_РФ_Бренд_Транзакционный,3075,107,5280.67,5
2026-09-21,РСЯ_РФ_Интересы_Аудитории,16167,335,3533.32,8
2026-09-21,РСЯ_РФ_Ретаргетинг_Корзины,16491,280,5426.44,12
2026-09-22,Поиск_Москва_Категории_Целевой,4732,127,6012.35,4
2026-09-22,Поиск_РФ_Бренд_Транзакционный,3934,157,5626.58,7
2026-09-22,РСЯ_РФ_Интересы_Аудитории,16191,266,3971.69,7
2026-09-22,РСЯ_РФ_Ретаргетинг_Корзины,12953,242,3583.77,8
